Time [us],MIDI IN 2-Piano,MIDI IN 3-PC
12186633,1,0
12186637,1,1
12186668,1,0
12186701,1,1
12186757,1,1
12186764,1,0
12186792,1,0
12186797,1,1
12186823,1,1
12186828,1,0
12186854,1,0
12186861,1,1
12186885,1,1
12186892,1,0
12186925,1,1
12186951,1,1
12186988,1,0
12187021,1,1
12187079,1,1
12187117,1,0
12187150,1,1
12187181,1,0
12187365,1,0
12187400,1,0
12187406,1,1
12187469,1,0
12187621,1,0
12187656,1,0
12187687,1,0
12187758,1,1
12187815,1,1
12187821,1,0
12187850,1,0
12187854,1,1
12187881,1,1
12187885,1,0
12187912,1,0
12187918,1,1
12187943,1,1
12187949,1,0
12187977,1,0
12187982,1,1
12188039,1,1
12188045,1,0
12188070,1,0
12188078,1,1
12188136,1,1
12188167,1,1
12188174,1,0
12188198,1,0
12188399,1,1
12188423,1,1
12188430,1,0
12188454,1,0
12188463,1,1
12188526,1,0
12188744,1,0
12188815,1,1
12188872,1,1
12188878,1,0
12188907,1,0
12188911,1,1
12188938,1,1
12188942,1,0
12188969,1,0
12188975,1,1
12189000,1,1
12189006,1,0
12189035,1,0
12189039,1,1
12189097,1,1
12189102,1,0
12189128,1,0
12189135,1,1
12189194,1,1
12189231,1,0
12189264,1,1
12189295,1,0
12189360,1,1
12189418,1,1
12189449,1,1
12189480,1,1
12189487,1,0
12189511,1,0
12189520,1,1
12189583,1,0
12189802,1,0
12189872,1,1
12189930,1,1
12189935,1,0
12189964,1,0
12189995,1,0
12190000,1,1
12190026,1,1
12190057,1,1
12190063,1,0
12190092,1,0
12190128,1,1
12190154,1,1
12190185,1,1
12190251,1,1
12190282,1,1
12190288,1,0
12190313,1,0
12190379,1,0
12190507,1,0
12190538,1,0
12190569,1,0
12190576,1,1
12190640,1,0
12190859,1,0
12190865,1,1
12190896,1,0
12190929,1,1
12190991,1,1
12190992,1,0
12191053,1,0
12191057,1,1
12191119,1,1
12191120,1,0
12191153,1,1
12191181,1,1
12191216,1,0
12191249,1,1
12191309,1,1
12191345,1,0
12191377,1,1
12191409,1,0
12191595,1,0
12191630,1,0
12191633,1,1
12191697,1,0
12191851,1,0
12191886,1,0
12191917,1,0
12191986,1,1
12192045,1,1
12192049,1,0
12192110,1,0
12192114,1,1
12192172,1,1
12192177,1,0
12192207,1,0
12192210,1,1
12192269,1,1
12192273,1,0
12192300,1,0
12192306,1,1
12192366,1,1
12192397,1,1
12192402,1,0
12192428,1,0
12192626,1,1
12192653,1,1
12192658,1,0
