Time [s],MIDI IN 2-Piano,MIDI IN 3-PC,MIDI OUT 2-Synth,MIDI OUT 3-No Load,Channel 4,Channel 5,Channel 6,Channel 7
9.913392000,1,1,0,1,1,1,1,1
9.913423000,1,0,0,1,1,1,1,1
9.913488000,1,1,0,1,1,1,1,1
9.913549000,1,1,1,1,1,1,1,1
9.913580000,1,1,0,1,1,1,1,1
9.913611000,1,1,1,1,1,1,1,1
9.913615000,1,0,1,1,1,1,1,1
9.913642000,1,0,0,1,1,1,1,1
9.913648000,1,1,0,1,1,1,1,1
9.913712000,1,0,0,1,1,1,1,1
9.913933000,1,0,1,1,1,1,1,1
9.914001000,1,1,1,1,1,1,1,1
9.914061000,1,1,0,1,1,1,1,1
9.914064000,1,0,0,1,1,1,1,1
9.914097000,1,1,0,1,1,1,1,1
9.914122000,1,1,1,1,1,1,1,1
9.914153000,1,1,0,1,1,1,1,1
9.914160000,1,0,0,1,1,1,1,1
9.914188000,1,0,1,1,1,1,1,1
9.914193000,1,1,1,1,1,1,1,1
9.914224000,1,0,1,1,1,1,1,1
9.914257000,1,1,1,1,1,1,1,1
9.914281000,1,1,0,1,1,1,1,1
9.914316000,1,1,1,1,1,1,1,1
9.914378000,1,1,0,1,1,1,1,1
9.914409000,1,1,1,1,1,1,1,1
9.914416000,1,0,1,1,1,1,1,1
9.914444000,1,0,0,1,1,1,1,1
9.914506000,1,0,1,1,1,1,1,1
9.914634000,1,0,0,1,1,1,1,1
9.914665000,1,0,1,1,1,1,1,1
9.914700000,1,0,0,1,1,1,1,1
9.914705000,1,1,0,1,1,1,1,1
9.914769000,1,0,0,1,1,1,1,1
9.914986000,1,0,1,1,1,1,1,1
9.914994000,1,1,1,1,1,1,1,1
9.915025000,1,0,1,1,1,1,1,1
9.915058000,1,1,1,1,1,1,1,1
9.915114000,1,1,0,1,1,1,1,1
9.915121000,1,0,0,1,1,1,1,1
9.915149000,1,0,1,1,1,1,1,1
9.915154000,1,1,1,1,1,1,1,1
9.915211000,1,1,0,1,1,1,1,1
9.915217000,1,0,0,1,1,1,1,1
9.915242000,1,0,1,1,1,1,1,1
9.915250000,1,1,1,1,1,1,1,1
9.915277000,1,1,0,1,1,1,1,1
9.915308000,1,1,1,1,1,1,1,1
9.915345000,1,0,1,1,1,1,1,1
9.915378000,1,1,1,1,1,1,1,1
9.915436000,1,1,0,1,1,1,1,1
9.915473000,1,0,0,1,1,1,1,1
9.915506000,1,1,0,1,1,1,1,1
9.915537000,1,0,0,1,1,1,1,1
9.915722000,1,0,1,1,1,1,1,1
9.915753000,1,0,0,1,1,1,1,1
9.915762000,1,1,0,1,1,1,1,1
9.915826000,1,0,0,1,1,1,1,1
9.915978000,1,0,1,1,1,1,1,1
9.916013000,1,0,0,1,1,1,1,1
9.916044000,1,0,1,1,1,1,1,1
9.916115000,1,1,1,1,1,1,1,1
9.916172000,1,1,0,1,1,1,1,1
9.916178000,1,0,0,1,1,1,1,1
9.916206000,1,0,1,1,1,1,1,1
9.916211000,1,1,1,1,1,1,1,1
9.916268000,1,1,0,1,1,1,1,1
9.916274000,1,0,0,1,1,1,1,1
9.916299000,1,0,1,1,1,1,1,1
9.916307000,1,1,1,1,1,1,1,1
9.916396000,1,1,0,1,1,1,1,1
9.916402000,1,0,0,1,1,1,1,1
9.916427000,1,0,1,1,1,1,1,1
9.916435000,1,1,1,1,1,1,1,1
9.916493000,1,1,0,1,1,1,1,1
9.916524000,1,1,1,1,1,1,1,1
9.916530000,1,0,1,1,1,1,1,1
9.916555000,1,0,0,1,1,1,1,1
9.916755000,1,1,0,1,1,1,1,1
